Field,Description
spotify_track_uri,"Spotify URI that uniquely identifies each track in the form of ""spotify:track:<base-62 string>"""
ts,Timestamp indicating when the track stopped playing in UTC (Coordinated Universal Time)
platform,Platform used when streaming the track
ms_played,Number of milliseconds the stream was played
track_name,Name of the track
artist_name,Name of the artist
album_name,Name of the album
reason_start,Why the track started
reason_end,Why the track ended
shuffle,TRUE or FALSE depending on if shuffle mode was used when playing the track
skipped,TRUE of FALSE depending on if the user skipped to the next song
